citation,citation_text,adj,pos_adj,neg_adj
"Yang & Pedersen, 1997","Dang, Zhang, and Chen (2010) also used various categories of features, which were re ned by applying the Information Gain (IG) technique (Yang & Pedersen, 1997). None of them has been widely accepted as the best feature selection method for sentiment classi cation or text categorization, however, information gain has often been competitive (Abbasi et al., 2011; Forman, 2003; Li et al., 2009; Xia & Zong, 2010; Yang & Pedersen, 1997).","['forman', 'various', 'pedersen', 'best', 'competitive']","(2, ['best', 'competitive'])","(0, [])"
"Ye, Zhang, & Law, 2009","The most popular sentiment learning techniques are SVM and NB, and many authors have reported better accuracy by using SVM (Abbasi, 2010; Dang et al., 2010; O Keefe & Koprinska, 2009; Pang et al., 2002; Prabowo & Thelwall, 2009; Ye, Zhang, & Law, 2009).","['popular', 'many', 'svm']","(1, ['popular'])","(0, [])"
"Zaidan, Eisner, and Piatko (2007)","Zaidan, Eisner, and Piatko (2007) proposed learning the sentiment polarity of reviews from an additional source of information.",['additional'],"(0, [])","(0, [])"
although Cristianini and Shawe-Taylor (2000),"Thus, although Cristianini and Shawe-Taylor (2000) mentioned that in practice SVM frequently results in very few support vectors, our results are consistent with previous results on text categorization (Colas, Pacl k, Kok, & Brazdil, 2007) in reporting a high number of support vectors.","['high', 'consistent', 'previous', 'text', 'few']","(1, ['consistent'])","(0, [])"
and Pang and Lee (2008),The research eld is know as opinion mining or sentiment classi cation and a complete overview on the subject is presented in Liu (2011) and Pang and Lee (2008).,"['complete', 'liu']","(0, [])","(0, [])"
in Atakulreka and Sutivong (2007),"Nevertheless, each ANN training process could run simultaneously in parallel as proposed in Atakulreka and Sutivong (2007).",['sutivong'],"(0, [])","(0, [])"
in Ben-Hur and Weston (2010),"A detailed discussion covering parameter values and their implications are beyond the scope of our work and can be found in Ben-Hur and Weston (2010), Burges (1998), Hastie et al.","['hastie', 'detailed']","(0, [])","(0, [])"
in Liu (2011),The research eld is know as opinion mining or sentiment classi cation and a complete overview on the subject is presented in Liu (2011) and Pang and Lee (2008).,"['complete', 'liu']","(0, [])","(0, [])"
in McCallum and Nigam (1998),"More details on models for text classi cation and NB classi ers can be found in McCallum and Nigam (1998), Manning et al.","['more', 'text', 'nigam']","(0, [])","(0, [])"
of 2000,Each dataset consists of 2000 reviews that were classi ed in terms of the overall orientation as being either positive or negative (1000 positive and 1000 negative reviews).,"['classi', 'positive', 'overall', 'negative']","(1, ['positive'])","(1, ['negative'])"
on 2000,"Since we conducted the validation as a 10-fold process on 2000 reviews, training time is computed by considering 1800 reviews and running time is computed on the remaining 200 reviews.",['fold'],"(0, [])","(0, [])"
"problem, Wang, Li, Zhou, Li, and Zhu (2011)","In order to overcome this problem, Wang, Li, Zhou, Li, and Zhu (2011) propose combining multiple classi ers, which are trained from multiple instances of under-sampled data.","['multiple', 'propose', 'undersampled']","(0, [])","(0, [])"
"reviews, Pang and Lee (2004)","In order to better approach sentiments in textual reviews, Pang and Lee (2004) also proposed classifying sentences as being either subjective or objective, and then apply sentiment classi cation on the subjective portion of the text.","['objective', 'subjective', 'better', 'textual']","(1, ['better'])","(0, [])"
"shi Wang, 2010","ANN and sentiment classi cation ANN has gured rarely in the literature (Bespalov, Bai, Qi, & Shokoufandeh, 2011; Chen et al., 2011; Claster, Hung, & Shanmuganathan, 2010; Zhu, XU, & shi Wang, 2010), as can be seen in recent surveys on sentiment analysis (Pang & Lee, 2008; Tsytsarau & Palpanas, 2012).",['recent'],"(0, [])","(0, [])"
"subjective, Raychev and Nakov (2009)","In addition to the probability of a term being subjective, Raychev and Nakov (2009) proposed considering the position of terms in the text as a strategy for identifying informative features.","['subjective', 'nakov', 'informative']","(0, [])","(0, [])"
"th, 2003","Therefore, the solution can be written as a weighted sum of the values of certain kernel function evaluated at the support vectors (Horv th, 2003).","['certain', 'weighted']","(0, [])","(0, [])"
Andreevskaia and Bergler (2008),"Other hybrid methods include those of Andreevskaia and Bergler (2008), Dang, Zhang, and Chen (2010), Dasgupta and Ng (2009), Goldberg and Zhu (2006), or Prabowo and Thelwall (2009). Andreevskaia and Bergler (2008) show, however, that cross-domain performance drops signi cantly. The gures in the rst section of Table 7 suggest robust performance as compared to a mostfrequent-class baseline, including modest improvement over the relevant cross-domain results of Andreevskaia and Bergler (2008).22 Moilanen, Pulman, and Zhang (2010) also use the headlines data, and obtain a polarity classi cation accuracy of 77.94% below our results excluding empty.23 21 By default, SO-CAL assigns a zero to such texts, which is usually interpreted to mean that the text is neither positive nor negative.","['empty', 'such', 'positive', 'other', 'rst', 'table', 'mostfrequentclass', 'crossdomain', 'negative', 'socal', 'modest', 'robust', 'suggest', 'default', 'hybrid', 'relevant']","(3, ['positive', 'modest', 'robust'])","(1, ['negative'])"
Andreevskaia and Bergler 2008,"One of the criticisms raised against lexicon-based methods is that the dictionaries are unreliable, as they are either built automatically or hand-ranked by humans (Andreevskaia and Bergler 2008). 2.9 Evaluation of SO-CAL in Other Domains Reference to domain portability, in this article and in other work, is usually limited to portability across different types of reviews (Aue and Gamon 2005; Blitzer, Dredze, and Pereira 2007; Andreevskaia and Bergler 2008). We tested SO-CAL with four different data sets: the Multi-Perspective Question Answering (MPQA) corpus, version 2.0 (Wiebe, Wilson, and Cardie 2005); a collection of MySpace.com comments from Mike Thelwall (Prabowo and Thelwall 2009); a set of news and blog posts from Alina Andreevskaia (Andreevskaia and Bergler 2008); and a set of headlines from Rada Mihalcea and Carlo Strappavara (Strappavara and Mihalcea 2007).20 The rst set of data is the MPQA corpus (version 2.0), a collection of news articles and other documents (texts from the American National Corpus and other sources) annotated for opinions and other private states (beliefs, emotions, speculation, etc.). Support Vector Machine (SVM) classi ers have been shown to outperform lexicon-based models within a single domain (Kennedy and Inkpen 2006); they have trouble with cross-domain tasks (Aue and Gamon 2005), however, and some researchers have argued for hybrid classi ers (Andreevskaia and Bergler 2008).","['single', 'socal', 'emotions', 'crossdomain', 'private', 'mpqa', 'hybrid', 'handranked', 'other', 'alina', 'corpus', 'unreliable', 'andreevskaia', 'etc', 'lexiconbased', 'american', 'different', 'national', 'multiperspective']","(0, [])","(1, ['unreliable'])"
Aue and Gamon 2005,"2.9 Evaluation of SO-CAL in Other Domains Reference to domain portability, in this article and in other work, is usually limited to portability across different types of reviews (Aue and Gamon 2005; Blitzer, Dredze, and Pereira 2007; Andreevskaia and Bergler 2008). Support Vector Machine (SVM) classi ers have been shown to outperform lexicon-based models within a single domain (Kennedy and Inkpen 2006); they have trouble with cross-domain tasks (Aue and Gamon 2005), however, and some researchers have argued for hybrid classi ers (Andreevskaia and Bergler 2008).","['lexiconbased', 'other', 'single', 'crossdomain', 'socal', 'different', 'hybrid']","(0, [])","(0, [])"
August 2010,Submission received: 14 December 2009; revised submission received: 22 August 2010; accepted for publication: 28 September 2010.,[],"(0, [])","(0, [])"
"Baccianella, Esuli, and Sebastiani 2010","Automatically generated dictionaries are generally much larger: SentiWordNet (Baccianella, Esuli, and Sebastiani 2010) includes 38,182 non-neutral words (when the polarity of senses is averaged see discussion in Section 3.4), and the Maryland dictionary (Mohammad, Dorr, and Dunne 2009) has 76,775 words and phrases tagged for polarity. Another publicly available corpus is SentiWordNet (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), an extension of WordNet (Fellbaum 1998) where each synset is annotated with labels indicating how objective, positive, and negative the terms in the synset are. The SentiWordNet dictionary (Esuli and Sebastiani 2006; Baccianella, Esuli, and Sebastiani 2010), also used in the previous section, was built using WordNet (Fellbaum 1998), and retains its synset structure.","['available', 'dictionary', 'averaged', 'sentiwordnet', 'previous', 'much', 'negative', 'objective', 'see', 'nonneutral']","(1, ['available'])","(1, ['negative'])"
Bartlett and Albright 2008,2007; Bartlett and Albright 2008).,[],"(0, [])","(0, [])"
"Batson, Shaw, and Oleson 1992","The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
Bednarek 2009,Syntactic patterns can also be used to distinguish different types of opinion and appraisal (Bednarek 2009).,"['syntactic', 'different']","(0, [])","(0, [])"
Biber and Finegan 1988,"The analysis and automatic extraction of semantic orientation can be found under different umbrella terms: sentiment analysis (Pang and Lee 2008), subjectivity (Lyons 1981; Langacker 1985), opinion mining (Pang and Lee 2008), analysis of stance (Biber and Finegan 1988; Conrad and Biber 2000), appraisal (Martin and White 2005), point of view (Wiebe 1994; Scheibman 2002), evidentiality (Chafe and Nichols 1986), and a few others, without expanding into neighboring disciplines and the study of emotion (Ketal 1975; Ortony, Clore, and Collins 1988) and affect (Batson, Shaw, and Oleson 1992).","['affect', 'semantic', 'ortony', 'scheibman', 'automatic', 'ketal', 'different', 'white', 'finegan', 'few']","(0, [])","(0, [])"
"Blitzer, Dredze, and Pereira (2007)","(2010) use co-training to incorporate labeled and unlabeled examples, also making use of 3 Blitzer, Dredze, and Pereira (2007) do show some success in transferring knowledge across domains, so that the classi er does not have to be re-built entirely from scratch.","['unlabeled', 'rebuilt']","(0, [])","(0, [])"
